Nombre,Citas,Correo,Afiliación,Temas de Interés
Felipe R. Garcés Fiallos,1197,utm.edu.ec,"Universidad Técnica de Manabí, Ecuador.","Phytopathology, Micology, Epidemiology, Plant-pathogen interaction, Crop protection"
Raúl López Fernández (orcid.org/0000-0001-5316-2300),1193,umet.edu.ec,Docente investigador; Universidad Metropolitana del Ecuador; Universidad de Cienfuegos,"Educación, Salud, Métodos de investigación, Educación a distancia, Gestión Empresarial yTurística"
SONIA GUERRA IGLESIAS,1192,ube.edu.ec,Universidad Bolivariana del Ecuador,"Educación, Inclusión educativa, bioética y diversidad, neurociencias, didáctica y curriculo"
FIDEL MARQUEZ SANCHEZ,1191,uees.edu.ec,Universidad de Especialidades Espíritu Santo (UEES),"Gestión Universitaria, Desarrollo y Población, Sector Informal y Empleo, Política Económica"
Mario Gonzalez,1190,udla.edu.ec,"Universidad de las Américas, Quito, Ecuador","Attractor networks, complex networks and systems."
Daniel Moran-Zuloaga,1190,espol.edu.ec,Escuela Superior Politécnica del Litoral (ROR 04qenc566). Ecuador,
Janio Jadán-Guerrero,1188,uti.edu.ec,Docente-Investigador Universidad Tecnológica Indoamérica / PHD Universidad de Costa …,Human-Computer Interaction
William Villegas-Ch,1188,udla.edu.ec,"Profesor de TI, Universidad de Las Américas","Seguridad informática, minería de datos, e-learning, educación virtual"
Jose R Mora,1184,usfq.edu.ec,Universidad San Francisco de Quito,Chemistry
Andrea Muñoz,1184,uleam.edu.ec,"Docente de Inglés, ULEAM","Ingles, Educación, Linguistica"
JENNIFFER ESTEFANIA HERNANDEZ JURADO,1184,unemi.edu.ec,Unemi,"Educación, infantil, juegos, aprendizajes, niños"
Alexis Flores,1183,uce.edu.ec,"Estudiante de Biología y Química, Universidad Central del Ecuador",Biología y Química
FIDEL  LEOPOLDO CASTRO DE LA CRUZ,1183,espe.edu.ec,Universidad de las Fuerzas Armadas - ESPE,"Calidad y Evaluación Universitaria, Electrónica Digital, Inteligencia Artificial"
Rubén Darío Vilcacundo Chamorro,1177,uta.edu.ec,"Profesor de análisis de los alimento, Universidad Técnica de Ambato",food science
Mario-jose´Añazco-Romero,1175,utn.edu.ec,Universidad Técnica del Norte,ciencias forestales
Luis Ismael Minchala,1174,ucuenca.edu.ec,Universidad de Cuenca,"Renewable energies integration, Fault-Tolerant Control, Digital Control, Microgrids"
Carmen Siavil Varguillas Carmona,1174,unach.edu.ec,"Docente / Investigadora, Universidad Nacional de Chimborazo - Ecuador. Universidad …","Desarrollo Currícular, Investigación, Pedagogía, Textos Académicos, Educación Superior"
BARRERA ALVAREZ ALEXANDRA ELIZABETH,1171,uteq.edu.ec,Universidad Técnica Estatal de Quevedo,"Alimentación, Producción Animal, Agropecuaria"
ESTOA,1170,ucuenca.edu.ec,Revista de la Facultad de Arquitectura y Urbanismo de la Universidad de Cuenca,"Architecture, Urban Planning, Architecture education, Building, Cultural Heritage"
MIGUEL ENRIQUE CHAVEZ CEVALLOS,1169,espe.edu.ec,Universidad de las Fuerzas Armadas ESPE,"CALIDAD DE VIDA, RECREACIÓN Y TIEMPO LIBRE, ACTIVIDAD FÍSICA"
Valentina Ramos,1167,epn.edu.ec,Escuela Politécnica Nacional,Psicologia organizacional
Santiago Guerrero,1167,uide.edu.ec,UIDE,"Cancer, Genomics, Genetics, RNA"
Esteban Fernández Moreira,1163,uees.edu.ec,"Universidad Espíritu Santo, Guayaquil. Ecuador","Microbiology, Science Communication"
Nereida Josefina Valero Cedeño,1158,unesum.edu.ec,"Professor of Immunology, UNESUM","Immunology, Virology, Diabetes, dislipidemys"
Diana Rivera-Rogel,1156,utpl.edu.ec,Directora del Área Sociohumanística de la Universidad Técnica Particular de Loja,"tecnologías, comunicación, periodismo digital, educomunicación, alfabetización digital"
Alexandra Portalanza (0000-0002-9782-5089),1154,uees.edu.ec,Universidad Espíritu Santo,"Positive Organizational Scholarship, Healthy Organizations, Civic Behaviors, Well-being, engagement"
Andres Delgado,1153,unl.edu.ec,"Carrera de Ingenieria en Electrónica y Telecomunicaciones, Universidad Nacional de Loja",Telecomunicaciones
Gianluca Gilardoni,1146,utpl.edu.ec,Universidad Técnica Particular de Loja,"Organic Chemistry, Natural Products, Essential Oils, Structure Elucidation, Gas Chromatography"
Janneth Chicaiza,1145,utpl.edu.ec,Universidad Técnica Particular de Loja (Ecuador),"Semantic Web, Information Retrieval, Data Science, Knowledge Graphs, NLP"
Zhofre Aguirre Mendoza,1144,unl.edu.ec,UNIVERSIDAD NACIONAL DE LOJA,"Biodiversidad, Conservacion, Dendrologia"
Pedro Carlos Martinez Suarez,1142,ucacue.edu.ec,Universidad Católica de Cuenca-Ecuador,Health Psychology. Medical Psychology …
Rodrigo Eduardo Espinosa Barrera,1137,ikiam.edu.ec,Universidad Regional Amazónica - IKIAM,"Aquatic Ecology, Limnology, Conservation Biology, Ecology, Climate Change"
César  Roberto Merino Ortega,1136,unach.edu.ec,Arizona State University - ASU,Organizational Psychology
Genesis Gallardo,1135,unemi.edu.ec,Alumna Universidad Estatal de Milagro,Trabajo Social
Priscila Valdiviezo,1133,utpl.edu.ec,Universidad Técnica Particular de Loja,"machine leaning, data mining, recommender system."
Diego Páez-Rosas,1129,usfq.edu.ec,Universidad San Francisco de Quito,
Jan Spengler,1128,ikiam.edu.ec,"Lecturer and Researcher, Universidad Regional Amazonica Ikiam","Natural Products, Small Molecules, Organic Synthesis, Peptides, Catalysis"
Cesar A. Martin,1124,espol.edu.ec,"Professor, Escuela Superior Politecnica del Litoral, ESPOL (ROR 04qenc566). Ecuador","Control Systems, System Identification, Control design, Behavioral Health"
Santiago F. Burneo,1115,puce.edu.ec,"Museo de Zoología, colección de Mastozoología, Pontificia Universidad Católica del …","mastozoología, sistemas de información geográfica, conservación"
Derly Madeleiny Andrade Molina,1114,uees.edu.ec,"Docente Investigador, Universidad Espíritu Santo","Bacterial cell division, Cyanobacteria, Infectious diseases, Candida"
