Nombre,Citas,Correo,Afiliación,Temas de Interés
Rita Azucena Díaz Vásquez,76,uniandes.edu.ec,Universidad Regional Autónoma de los Andes,"tics, programación, ingeniería del software"
Juan Anzieta,76,puce.edu.ec,"profesor de matemática, Pontificia Universidad Católica del Ecuador","Geophysics, Artifificial Intelligence, Computer Sciences, Statistics"
Sofía de Janon González,76,uce.edu.ec,"Técnico de Laboratorio, Universidad Central del Ecuador","Epidemiología, resistencia antibacteriana, microbiología, veterinaria"
Melvis González Acosta,76,unae.edu.ec,Universidad Nacional de Educación,Gestión del conocimiento
Robert Richard Ramírez,76,upse.edu.ec,"Arturo Clery. Phd,Universidad Estatal Península de Santa Elena",Relatividad general
Paul E Méndez,76,epn.edu.ec,"Researcher at MODEMAT, Escuela Politécnica Nacional. ESPE","Applied Mathematics, Numerical Analysis, Scientific Computing, Partial Differential Equations"
Leila Alava Barreiro,76,utm.edu.ec,Docente Universidad Técnica de Manabí,Trabajo social
Juan Cruz V.,76,uti.edu.ec,Universidad Tecnológica Indoamérica,Diseño Mecánico Materiales de Ingeniería …
Jairo Castillo-Calderón,76,unl.edu.ec,Universidad Nacional de Loja,Transporte y movilidad
Santiago Nicolás Aguiar Novillo,76,uea.edu.ec,Docente Seguridad Industrial Universidad Estatal Amazónica,"procesos agroindustriales, seguridad"
Sandra villacis valencia,76,uta.edu.ec,UNIVERSIDAD TECNICA DE AMBATO,medicina
Stephanie Marie Cruz Pierard,76,uti.edu.ec,Nutricionist owner of Bonne Vie nutritional center / Professor of Nutrition and Dietetics at UTI,"Nutrition, dietotherapy, health"
Julio Mejia Morales,76,unemi.edu.ec,Universidad Estatal de Milagro,"Ingeniería Industrial, Seguridad Salud Ocupacional, Logística"
SOFI ERAS,76,alumna.spellmanfemenino.edu.ec,,
RUTH NOEMI GAROFALO GARCIA,76,ug.edu.ec,Universidad de Guayaquil,"Educación, Tecnología, Docencia, Innovación, Investigación"
ROSARIO MARIUXI SANCHEZ SANCHEZ,76,itb.edu.ec,,
Natalia Zhanela Largo Sánchez,76,unl.edu.ec,Universidad Nacional de Loja,Contabilidad
José Alonso Hidalgo León,76,ug.edu.ec,Universidad de Guayaquil / Universidade da Coruña,"turismo, servicios, organización de eventos, imagen corporativa, marketing personal"
Angelica Borja,76,ug.edu.ec,Universidad de Guayaquil,"Administración, Tributaria, Contable"
Robert William Izquierdo Cabezas,76,ug.edu.ec,Universidad de guayaquil,Sistemas
Gómer Abel Rubio Roldán,76,espol.edu.ec,"Professor of Electrical and Electronics engineering, Escuela Superior Politécnica del Litoral","PEMFC, Strategic Energy, Modeling with data, Business intelligence, Quality management"
Mercedes Marcela Pincay Pilay,76,unesum.edu.ec,Universidad Estatal del Sur de Manabi,"marketing, comportamiento del consumidor, educación superior, salud, ingeniería"
Mónica Elva Vaca-Cárdenas (0000-0001-6436-3538),76,utm.edu.ec,Full time Professor - Universidad Técnica de Manabí,"Lesson Planning, Didactics for EFL teaching, Connectivism, Curriculum and Instruction"
Tatiana Acosta Yela,76,utmachala.edu.ec,"Professor of Technology, Machala University","education, technology, active methodologies"
DIEGO WLADIMIR TAPIA NU EZ,76,unemi.edu.ec,Universidad Estatal de Milagro,"comunicación emocional, marketing emocional"
Francisco Mena Martin,76,ug.edu.ec,Docente- Universidad de Guayaquil,"Informática, Enfermería"
Henry león,76,uce.edu.ec,Universidad Central del Ecuador,Educación en Química y Biología
Diana Estefanía Yánez Sevilla,76,unach.edu.ec,Universidad Nacional de Chimborazo,"Waste water treatment, Nitrification-Denitrification Process, Greywater treatment"
CESAR RAMIRO BERMEO TOLEDO,76,uteq.edu.ec,"Área Agrícola, Universidad Técnica Estatal de Quevedo","Agricultura, Agroecología, Bioinsumos, microrganismo eficientes, acido piroleñoso"
Franklin Gutierrez Cedeño,76,unemi.edu.ec,Estudiante,aprendizajes
Diego Arévalo,76,unach.edu.ec,"Estudiante,Universidad Nacional de Chimborazo",Programación
Fernando Barragán-Ochoa,75,iaen.edu.ec,Instituto de Altos Estudios Nacionales,"geografía, territorios, ordenamiento territorial, riesgos, prospectiva"
Alex Fernando Jimenez Velez,75,espe.edu.ec,Universidad de Fuerzas Armadas-ESPE,"Inteligencia Colectiva, TICs, Ingeniería de Proyectos"
Edwin Fernando Viteri Núñez,75,espoch.edu.ec,Professor of Projects - Escuela Superior Politecnica de Chimborazo -,"Mechanic, Energy, Structurs, Projects, Industry"
Jonathan Vivas Herrera,75,puce.edu.ec,Magíster en Educación,Filosofía y Educación
TANIA CRISANTO-PERRAZO,75,espe.edu.ec,"Department of Earth Sciences and Construction, Universidad de las Fuerzas Armadas","Cemeteries, Water Pollution, second life of waste, sustainable mechanical designs, industrial safety"
"Aguirre-Munizaga, Maritza",75,uagraria.edu.ec,"Profesor de la carrera de Computación, Universidad Agraria del Ecuador","Inteligencia Artificial, Elearning, Cloud Computing"
Alex Vallejos Cazar,75,uniandes.edu.ec,"Profesor de Turismo y Gastronomía, Universidad Autónoma Regional de los Andes.","Turismo, Gastronomía, Hostelería."
Edwin Amado Mendoza Hidalgo,75,ug.edu.ec,Docente de la Facultad de Ciencias Para el Desarrollo de la Universidad de Guayaquil,Agricultura
Geovanni Brito,75,uta.edu.ec,"Docente, Universidad Técnica de Ambato","Electrónica, Comunicaciones"
Maria Isabel Uvidia Fässler,75,unach.edu.ec,Universidad Nacional de Chimborazo,"minería de datos, descubrimiento de conocimiento en base de …"
Elsa Vera Burgos,75,uleam.edu.ec,Universidad Laica Eloy Alfaro de Manabí,Internet of Things
Fabian Morales Fiallos,75,uta.edu.ec,"Profesor del área de Hidráulica-Sanitaria, Universidad Técnica de Ambato",tratamiento aguas residuales
Nohemí Jumbo Benítez,75,unl.edu.ec,Universidad Nacional de Loja,Química
Veronica A. CastroDelPezo,75,uees.edu.ec,"Investigacion, Universidad Espiritu Santo","educacion, administracion"
CATALINA VITELIA VARGAS PEREZ,75,ug.edu.ec,Universidad de Guayaquil,"Educación, Comercio Exterior, Formación Docente"
Ana Isabel Utrera Velázquez,75,uniandes.edu.ec,Profesora de gastronomía y turismo. Universidad Regional Autónoma de Los Andes …,"Gastronomía, Turismo, Hotelería"
ANA CHACON-LUNA,75,unemi.edu.ec,Universidad Estatal de Milagro - University of Milagro,"software, elearning"
Orlando Agustín Pérez Manzo,75,unemi.edu.ec,Universidad Estatal de Milagro,"Finanzas, Administración, Calidad e Innovación, Contabilidad, Procesos"
Diego Zalamea,75,udla.edu.ec,Docente investigador de la Universidad de las Américas.,"Litigación oral, reforma procesal y política criminal"
Gerardo Jose Cuenca-Nevarez,75,utm.edu.ec,Profesor de Microbiología/Estadística. Universidad Técnica de Manabí,"Microbiología, Biología, Ecología, Ambiente, Bioestadística"
Jose Eduardo Correa Calderon,75,utmachala.edu.ec,,
Lucrecia Llerena,75,uteq.edu.ec,Universidad Técnica Estatal de Quevedo,"Usability, Open Source Software, Software Engineering"
Rosa Estefanía Almache Hernandez,75,yachaytech.edu.ec,Universidad de Tecnología Experimental YachayTech,"Microelectronics, Selective Contacts, Solar cells, Thin film"
Milton Bohórquez-Cruz,75,espol.edu.ec,"Técnico de investigación, Escuela Superior Politécnica del Litoral","Cultivo de peces, enfermedades de peces"
Fernando Nicolas Vela,75,usfq.edu.ec,Universidad San Francisco de Quito,"Sustainable energy, Sustainability, Biomass, Life Cycle Assessment, Hydrogen"
CYNTHIA LEGARDA ARREAGA,75,ug.edu.ec,"Docente, Universidad de Guayaquil","Management, law"
Jorge Cárdenas,75,uta.edu.ec,Docente Universidad Técnica de Ambato,rehabilitación
Shirley Estefania Naranjo-Yucailla,75,uta.edu.ec,Estudiante de la Universidad Técnica de Ambato,Ciencias de la Salud
PAOLA CALVOPIÑA OSORIO,75,espe.edu.ec,UNIVERSIDAD DE LAS FUERZAS ARMADAS ESPE,
Karen Andrea Garcia Velez,75,utm.edu.ec,"Docente de Gestión de Estudios, Universidad Técnica de Manabí","Pedagogía, Innovación Educativa"
FERNANDO VINICIO ARMAS VEGA,75,espe.edu.ec,Profesor Universidad de las Fuerzas Armadas ESPE,"agricultura, edafología, suelos, fitotecnia, agropecuaria"
YOEN CAROLINA MORALES MORALES,75,unemi.edu.ec,,"Educación, investigación educativa"
María José Mena Bautista,75,uce.edu.ec,Universidad Central del Ecuador,"Docencia en Química y Biología, me gusta la investigación en Pedagogía, Ciencias Naturales y Biologí"
Aureliano Del Toro Cabrera,75,aitec.edu.ec,,
ANA CRISTINA DIAZ CEVALLOS,75,espe.edu.ec,DOCENTE,MEDICINA
EDUARDO MARCELO LOACHAMIN ALDAZ,75,espe.edu.ec,PROFESOR MT TAEKWONDO PAFDE ESPE,"TAEKWONDO, FUERZA, ARTES MARCIALES"
MARGARITA ALEXANDRA RODRÍGUEZ ACOSTA,75,espe.edu.ec,Universidad de las Fuerzas Armadas ESPE,"Educación, Pedagogía, Currículo, Vinculación"
Fabricio Rolando Marcillo Vera,75,itsjapon.edu.ec,Profesor en el Instituto Universitario Japón y la Pontificia Universidad Católica del Ecuador,Information and Communication Technology …
Zoila Monica  Ortega Pesantes,75,unl.edu.ec,"profesor de Gestión financiera, Universidad Nacional de Loja",económico
Jefferson Santiago Piedra Andrade,74,uce.edu.ec,Revista de la Facultad de Ciencias Medicas UCE Quito-Ecuador,Medicina
Jorge Aníbal Ojeda Escobar,74,espe.edu.ec,Universidad de las Fuerzas Armadas ESPE / Red cultural Yuracomplexus,"Complejidad, Relaciones internacionales, Comercio internacional, Inteligencia de negocios"
Gianella Carrión-Salinas (0000-0001-8541-1690),74,utpl.edu.ec,Universidad Técnica Particular de Loja,"Competencias mediática, Gamificación, Educomunicación, Historia de la prensa, TIC"
Juan Esteban Díaz,74,usfq.edu.ec,"Director of the Data Science Institute, Professor, USFQ","Stochastic multi-objective optimization, simulation-based optimization, robust optimization, matheuristics"
Yulixis Cano,74,utm.edu.ec,Profesora Universidad Tecnica de Manabi,"quimica ambiental, quimica atmosferica"
Verónica Egas-Reyes,74,puce.edu.ec,Pontificia Universidad Católica del Ecuador. Investigadora y Profesora,"psicología, psicoanálisis, comunidad, NTICs, realidad virtual"
Soraya Triviño Bloisse,74,ug.edu.ec,Profesor de la Universidad de Guayaquil,Educación
Maria Victoria Cabrera Ormaza,74,uees.edu.ec,"International Labor Organization, Universidad Espiritu Santo-Ecuador","International law, comparative constitutional law, legal theory"
Fernando Baculima,74,ucuenca.edu.ec,Universidad de Cuenca,"Linked Data & Ontologies, Evolutionary Computation, Data Managment, ETL, Open Data"
Francisco Manuel Demera Lucas,74,espam.edu.ec,Profesor. Docente. ESPAM MFL,"ingenieria, alimentos, calidad"
Elena Burgaleta Pérez,74,utc.edu.ec,DOCENTE UNIVERSIDAD TÉCNICA COTOPOXI,"sociología, metodología investigación social, políticas publicas, estudios de género"
DIANA ALEXANDRA MORILLO ARGUDO,74,ucuenca.edu.ec,Universidad de Cuenca,"Nutricional Epidemiology, Physical activity, Allergic diseases, Occupational health"
María José Masson,74,ute.edu.ec,"Docente de Operatoria dental y Morfofunción dental, Universidad Tecnológica Equinoccial","Materiales dentales, Cariología, Estética dental"
Joffre Moreira Pico,74,espam.edu.ec,Escuela Superior Politécnica Agropecuaria de Manabí Manuel Félix López,"Brecha digital, tecnología educativa, gamificación"
Hernan Barba Molina,74,epn.edu.ec,Escuela Politecnica Nacional,RF Technology
David Cajamarca-Zuniga,74,ucacue.edu.ec,Associate Professor at the Catholic University of Cuenca. Researcher at Moscow State,"Stress-Strain Analysis, Large-Span Structures, Spatial Structures"
Rina Pazos,74,ute.edu.ec,Universidad UTE,"Derecho, Políticas de Ciencia y Tecnología"
MARCO RIOS PONCE,74,uazuay.edu.ec,Universidad del Azuay,"Marketing, Marketing Social, Responsabilidad Social Empresarial, Investigación de Mercados, Comercialización"
